,Clouds,Latitude
0,80,-9.8
1,92,43.65
2,24,-22.57
3,90,-54.81
4,1,64.86
5,90,39.95
6,75,-17.12
7,76,-23.12
8,0,31.34
9,44,71.64
10,0,-33.02
11,0,-22.97
12,75,60.79
13,20,-20.21
14,75,6.8
15,0,3.07
16,0,-33.64
17,24,-2.02
18,40,-42.78
19,20,12.41
20,24,-46.19
21,75,39.31
22,0,-33.69
23,75,24.63
24,48,15.34
25,88,-34.42
26,76,68.54
27,1,34.42
28,75,17.52
29,75,35.73
30,48,-2.88
31,44,70.62
32,56,10.57
33,76,-0.6
34,36,11.0
35,100,-33.21
36,0,65.61
37,0,-53.16
38,44,0.05
39,75,30.04
40,12,0.07
41,12,-33.59
42,48,-18.06
43,76,-34.53
44,75,42.65
45,20,69.44
46,90,62.45
47,44,-20.63
48,88,6.4
49,8,24.8
50,92,-42.48
51,0,52.47
52,40,21.44
53,75,63.44
54,80,-46.13
55,90,59.7
56,80,70.03
57,0,-23.58
58,0,15.46
59,75,65.28
60,0,-6.09
61,76,54.51
62,75,51.89
63,40,62.91
64,68,53.86
65,20,43.37
66,20,10.24
67,56,-20.46
68,0,-16.45
69,75,-21.21
70,0,18.19
71,40,16.97
72,64,8.0
73,40,-42.88
74,76,69.7
75,36,33.0
76,76,-6.12
77,88,-10.62
78,88,-30.17
79,75,-45.87
80,0,-21.64
81,40,10.49
82,20,-20.56
83,40,22.08
84,92,9.54
85,40,60.91
86,0,-33.93
87,0,45.62
88,90,-34.67
89,8,-38.38
90,40,63.84
91,8,-38.31
92,0,-46.28
93,0,-39.03
94,76,71.97
95,80,46.45
96,40,-0.74
97,75,37.72
98,0,-13.71
99,90,39.41
100,0,20.2
101,0,11.28
102,68,-1.93
103,0,14.88
104,76,41.05
105,92,62.23
106,24,35.3
107,75,36.9
108,75,19.71
109,40,28.58
110,92,48.65
111,92,64.25
112,1,64.84
113,75,5.28
114,75,26.35
115,0,45.6
116,75,-45.58
117,0,13.58
118,92,-46.43
119,20,-6.13
120,20,78.22
121,24,67.86
122,90,45.52
123,92,71.03
124,68,-5.67
125,0,42.84
126,0,60.14
127,0,-20.74
128,24,50.6
129,20,38.52
130,64,63.45
131,75,35.74
132,40,-32.03
133,12,63.92
134,80,63.93
135,1,38.36
136,0,52.21
137,68,-2.57
138,0,27.97
139,75,-17.73
140,90,50.84
141,80,0.53
142,92,-8.15
143,20,33.61
144,20,34.02
145,40,-34.38
146,24,25.6
147,76,13.72
148,75,68.82
149,80,33.72
150,76,-30.97
151,90,50.7
152,8,13.6
153,20,36.54
154,0,4.94
155,68,31.42
156,0,73.51
157,75,60.73
158,90,63.75
159,92,-35.17
160,80,7.69
161,68,54.66
162,20,-18.76
163,0,42.9
164,0,38.08
165,90,59.7
166,0,14.4
167,44,72.79
168,20,13.22
169,90,45.36
170,92,59.95
171,32,7.87
172,76,60.35
173,20,-20.41
174,68,67.47
175,75,34.64
176,20,40.81
177,90,55.94
178,8,3.12
179,0,34.92
180,44,15.74
181,80,51.1
182,0,53.74
183,32,28.39
184,75,63.12
185,20,-1.75
186,40,18.39
187,90,-27.46
188,12,-23.78
189,0,25.27
190,75,69.22
191,20,14.9
192,0,43.63
193,90,53.14
194,88,66.32
195,1,30.37
196,90,49.72
197,0,77.48
198,20,18.03
199,48,-16.48
200,92,6.12
201,24,68.75
202,0,11.67
203,24,-20.46
204,88,50.68
205,8,57.02
206,0,49.65
207,0,24.4
208,90,47.66
209,32,50.14
210,90,41.91
211,76,59.24
212,40,54.11
213,76,-7.37
214,68,40.33
215,0,-20.22
216,92,54.43
217,40,40.81
218,0,51.22
219,40,39.75
220,75,1.56
221,24,-34.0
222,80,26.04
223,0,53.6
224,32,-4.94
225,75,53.14
226,0,-33.52
227,75,55.74
228,0,22.68
229,20,-9.17
230,75,43.97
231,75,-16.99
232,40,0.12
233,64,69.49
234,1,33.19
235,20,68.22
236,0,41.42
237,0,32.65
238,40,-7.28
239,8,-8.28
240,44,53.83
241,75,5.42
242,90,-13.65
243,92,55.69
244,20,48.95
245,32,-26.65
246,0,-51.62
247,20,48.58
248,56,38.94
249,40,18.42
250,48,68.06
251,0,-34.83
252,75,63.69
253,92,53.09
254,0,38.18
255,68,-1.77
256,0,0.49
257,40,-8.83
258,20,-3.71
259,0,44.83
260,1,30.3
261,0,-17.07
262,0,-17.91
263,20,-23.95
264,75,11.72
265,0,25.6
266,12,-10.12
267,12,33.93
268,76,-9.01
269,90,48.41
270,80,-28.55
271,0,15.34
272,20,41.89
273,24,12.18
274,75,58.81
275,20,65.58
276,88,60.47
277,1,31.33
278,92,58.25
279,0,-22.91
280,0,44.83
281,20,40.73
282,0,18.69
283,0,12.79
284,20,5.38
285,92,55.21
286,20,34.15
287,68,7.94
288,44,19.05
289,0,54.05
290,90,60.55
291,24,-20.07
292,88,56.85
293,75,25.87
294,40,-9.67
295,75,23.92
296,90,43.56
297,90,55.1
298,80,-14.8
299,0,29.85
300,36,10.07
301,20,39.45
302,24,67.55
303,75,43.21
304,92,-14.27
305,44,-19.55
306,0,37.14
307,0,-28.95
308,75,43.73
309,0,43.32
310,5,27.52
311,20,8.96
312,68,62.65
313,0,50.08
314,0,-16.23
315,0,50.29
316,0,-17.73
317,75,70.47
318,5,22.89
319,20,62.16
320,8,24.34
321,0,54.72
322,92,30.78
323,36,47.83
324,75,-1.85
325,75,36.95
326,24,35.37
327,0,-5.23
328,48,-0.92
329,75,32.65
330,0,50.81
331,12,-22.09
332,0,15.17
333,40,-21.2
334,0,32.21
335,0,28.21
336,92,47.8
337,56,-10.7
338,90,41.28
339,1,34.64
340,20,7.99
341,76,71.98
342,88,64.7
343,44,-15.77
344,80,-10.46
345,80,53.51
346,64,4.12
347,76,34.69
348,20,38.2
349,8,37.17
350,12,-5.83
351,0,-25.3
352,1,32.3
353,20,18.44
354,48,58.04
355,20,-21.53
356,75,16.86
357,5,23.94
358,92,50.85
359,90,54.32
360,75,39.65
361,75,-22.19
362,0,31.35
363,75,-29.95
364,20,17.54
365,0,37.85
366,0,22.29
367,20,17.01
368,92,68.05
369,0,21.46
370,32,-43.3
371,20,-20.34
372,90,44.08
373,90,48.07
374,12,-10.07
375,0,47.24
376,90,48.75
377,1,31.42
378,8,11.09
379,0,-28.77
380,64,60.89
381,0,63.17
382,40,39.93
383,48,20.35
384,75,37.57
385,1,38.76
386,12,67.8
387,20,-7.84
388,40,-43.03
389,100,5.71
390,8,-5.2
391,92,-25.17
392,1,36.73
393,68,32.12
394,40,53.8
395,90,45.51
396,75,-1.3
397,0,49.6
398,76,27.12
399,90,47.59
400,0,45.93
401,88,9.82
402,20,53.13
403,100,-26.98
404,90,41.63
405,90,49.78
406,75,42.44
407,40,18.49
408,80,18.62
409,24,-16.35
410,0,-8.93
411,92,33.64
412,92,-9.8
413,1,31.46
414,76,-8.65
415,100,-34.48
416,88,10.3
417,68,1.74
418,20,43.41
419,36,-25.24
420,64,65.8
421,90,-13.74
422,88,66.04
423,48,50.72
424,90,52.87
425,0,-25.04
426,12,-2.54
427,0,27.86
428,0,52.61
429,90,18.47
430,40,6.93
431,36,64.42
432,20,-16.28
433,0,43.42
434,24,-8.84
435,36,31.45
436,20,38.73
437,32,-22.95
438,75,54.08
439,12,25.52
440,92,57.54
441,92,-35.1
442,90,58.52
443,90,48.58
444,0,46.68
445,56,5.36
446,88,51.53
447,90,48.84
448,90,43.32
449,90,39.12
450,75,46.72
451,1,21.35
452,0,37.46
453,0,5.35
454,88,-7.38
455,40,35.47
456,75,48.64
457,40,18.46
458,20,46.68
459,92,19.93
460,0,13.05
461,92,26.54
462,80,67.55
463,75,38.18
464,0,30.59
465,0,36.17
466,92,6.62
467,0,27.21
468,0,-14.47
469,68,-37.83
470,75,-33.13
471,0,33.83
472,20,39.18
473,48,5.96
474,75,29.06
475,76,-8.35
476,20,-33.73
477,8,59.36
478,88,60.4
479,80,58.08
480,0,63.18
481,0,14.5
482,90,49.14
483,0,-26.94
484,0,-20.31
485,76,69.38
486,20,37.78
487,75,-18.65
488,88,2.67
489,90,40.8
490,1,26.42
491,44,54.15
492,0,-33.68
493,0,50.63
494,90,46.68
495,80,67.68
496,8,51.2
497,20,-23.65
498,90,44.77
499,1,31.76
500,1,61.6
501,12,10.31
502,90,20.71
503,44,37.68
504,0,40.67
505,0,50.3
506,12,47.41
507,90,52.96
508,0,20.52
509,36,-16.7
510,0,22.57
511,0,24.87
512,0,11.81
513,90,44.55
514,64,14.31
515,88,56.37
516,0,-10.16
517,0,-14.25
518,88,19.91
519,40,5.88
520,8,37.5
521,48,56.02
522,80,-37.02
523,8,14.35
524,20,51.38
525,20,-36.62
526,24,7.98
527,0,-26.57
528,1,30.28
529,92,54.43
530,0,42.41
531,0,-19.06
532,0,23.23
533,8,-45.87
534,0,24.93
